Name,Original_price,Offer,Final_price,Distance,Rating,Number of Rating,Summary
OYO 10363 Sri Balaji Guest House,₹1690,40% off,₹1014,4.7 km,4.5 ,(78 Ratings),Excellent
OYO 23427 Ashrey Comforts,₹2603,40% off,₹1562,5.7 km,3.8 ,(201 Ratings),Good
OYO 19325 Balaji Comforts Saver,₹1291,40% off,₹769,3.1 km,3.2 ,(423 Ratings),Fair
OYO Townhouse 042 Urvashi Theatre,₹2667,49% off,₹1365,5.8 km,4.5 ,(2371 Ratings),Excellent
OYO 70217 Hotel Regal Plaza,₹1587,40% off,₹952,2.2 km,3.2 ,(67 Ratings),Fair
OYO 17160 Rain Tree Comforts,₹2409,59% off,₹982,4.4 km,3.3 ,(51 Ratings),Fair
OYO 17327 The Rove,₹2026,40% off,₹1216,5.8 km,4.5 ,(710 Ratings),Excellent
OYO Home 49356 Exotic Stay,₹1690,40% off,₹1014,6.4 km,4.4 ,(840 Ratings),Very Good
OYO Townhouse 364 Richmond Road,₹2505,40% off,₹1503,6.4 km,4.7 ,(800 Ratings),Excellent
OYO Townhouse 251 Raja Ram Mohan Roy Circle,₹2026,40% off,₹1216,6.6 km,4.6 ,(1659 Ratings),Excellent
OYO 29250 Elegant Stay Yediyur Lake,₹3427,40% off,₹2056,4.7 km,4.3 ,(654 Ratings),Very Good
OYO 9925 The Ocea International,₹2725,40% off,₹1635,6.8 km,4.1 ,(240 Ratings),Very Good
OYO 18544 Amm Residency,₹1886,48% off,₹981,4.8 km,3.8 ,(30 Ratings),Good
OYO 13595 VT Residency,₹1545,40% off,₹927,5.7 km,3.1 ,(418 Ratings),Fair
OYO 60645 Sunrise Inn,₹1433,40% off,₹860,6.0 km,3.7 ,(211 Ratings),Good
OYO 38627 Pleasant Stay Richmond Town,₹3021,40% off,₹1813,6.2 km,4.2 ,(269 Ratings),Very Good
OYO 10478 Famous Golden Inn,₹2333,40% off,₹1400,3.8 km,3.9 ,(63 Ratings),Good
OYO Townhouse 025 Garuda Mall Bangalore,₹5654,70% off,₹1690,6.9 km,4.7 ,(1442 Ratings),Excellent
OYO 70859 Pallavi Nilayam,₹1496,40% off,₹898,5.7 km,NEW,,
